Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 3.65; Heading (deg): 223.22; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 3.33; Heading (deg): 215.89; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 3.33; Heading (deg): 215.89; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -0.17; Speed (kph): 3.02; Heading (deg): 215.53; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 3.02; Heading (deg): 215.53; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 2.74; Heading (deg): 213.77; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 2.74; Heading (deg): 213.77; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 2.74; Heading (deg): 213.77; Altitude: 0.02; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.93; Heading (deg): 198.14; Altitude: 0.02; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.93; Heading (deg): 198.14; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.87; Heading (deg): 192.27; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.87; Heading (deg): 192.27; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.78; Heading (deg): 190.70; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.78; Heading (deg): 190.70; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.63; Heading (deg): 186.46; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.63; Heading (deg): 186.46; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.56; Heading (deg): 188.20; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -0.17; Speed (kph): 1.56; Heading (deg): 188.20; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -10.83; Speed (kph): 1.13; Heading (deg): 190.38; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -10.83; Speed (kph): 1.13; Heading (deg): 190.38; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.07; Heading (deg): 190.38; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.07; Heading (deg): 190.38; Altitude: 0.17; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.06; Heading (deg): 190.38; Altitude: 0.17; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.06; Heading (deg): 190.38; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.17; Heading (deg): 190.52; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.17; Heading (deg): 190.52; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -0.02; Speed (kph): 1.22; Heading (deg): 191.92; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.22; Heading (deg): 191.92; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.15; Heading (deg): 192.00; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -10.83; Speed (kph): 1.15; Heading (deg): 192.00; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.15; Heading (deg): 192.00; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.74; Heading (deg): 192.56; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.74; Heading (deg): 192.56; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.78; Heading (deg): 192.56; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.78; Heading (deg): 192.56; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.78; Heading (deg): 1.00; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.78; Heading (deg): 1.00; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.76; Heading (deg): 192.56; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.76; Heading (deg): 192.56; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.74; Heading (deg): 192.56; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.74; Heading (deg): 192.56; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.74; Heading (deg): 192.56; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.81; Heading (deg): 192.56; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, 105.15; Speed (kph): 0.81; Heading (deg): 192.56; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.89; Heading (deg): 192.56; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.89; Heading (deg): 192.56; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.20; Heading (deg): 209.08; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.20; Heading (deg): 209.08; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.22; Heading (deg): 208.00; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.22; Heading (deg): 208.00; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.20; Heading (deg): 207.00; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.20; Heading (deg): 207.00; Altitude: 0.17; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.11; Heading (deg): 207.80; Altitude: 0.17; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, 105.15; Speed (kph): 1.11; Heading (deg): 207.80; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.07; Heading (deg): 207.80; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -10.83; Speed (kph): 1.07; Heading (deg): 207.80; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.06; Heading (deg): 207.80; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.06; Heading (deg): 207.80; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.07; Heading (deg): 196.40; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.07; Heading (deg): 196.40; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.11; Heading (deg): 198.40; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.11; Heading (deg): 198.40; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.13; Heading (deg): 198.78; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.00; Heading (deg): 198.78; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.00; Heading (deg): 198.78; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.07; Heading (deg): 198.78; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.07; Heading (deg): 198.78; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.04; Heading (deg): 198.78; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.04; Heading (deg): 198.78; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.02; Heading (deg): 198.84; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.02; Heading (deg): 198.84; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.02; Heading (deg): 198.84; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.02; Heading (deg): 198.84; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.02; Heading (deg): 190.92; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.02; Heading (deg): 190.92; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.07; Heading (deg): 212.69; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.07; Heading (deg): 212.69; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.13; Heading (deg): 212.11; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.13; Heading (deg): 212.11; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.09; Heading (deg): 21.00; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -10.83; Speed (kph): 1.09; Heading (deg): 21.00; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.67; Heading (deg): 212.11; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.67; Heading (deg): 212.11; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.69; Heading (deg): 212.11; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -1.08; Speed (kph): 0.69; Heading (deg): 212.11; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -10.83; Speed (kph): 0.98; Heading (deg): 212.11; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.00; Heading (deg): 212.11; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.00; Heading (deg): 212.11; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.11; Heading (deg): 88.02; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.11; Heading (deg): 88.02; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.15; Heading (deg): 88.81; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 1.15; Heading (deg): 88.81; Altitude: 1.70; 19cm, Reverse!
